"名称","名称カナ","住所","TEL","FAX","URL","備考","経度","緯度","分類"
"長坂町内会","ﾅｶﾞｻｶﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1920.html","","139.631619707036","35.234622580717","町内会・自治会マップ"
"神金町内会","ｶﾘｶﾞﾈﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1409.html","","139.677863714849","35.2575234578933","町内会・自治会マップ"
"坂本５丁目町会","ｻｶﾓﾄ5ﾁﾖｳﾒﾁﾖｳｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1053.html","","139.651011194574","35.2683532126145","町内会・自治会マップ"
"平作町内会","ﾋﾗｻｸﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1426.html","","139.647293819325","35.253860753217","町内会・自治会マップ"
"岡崎町内会","ｵｶｻﾞｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1930.html","","139.612644334461","35.2086917094036","町内会・自治会マップ"
"仮屋ヶ崎町内会","ｶﾘﾔｶﾞｻｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1929.html","","139.614492058926","35.2075658097449","町内会・自治会マップ"
"吉倉町内会","ﾖｼｸﾗﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1307.html","","139.646707116754","35.2853889317127","町内会・自治会マップ"
"大作町内会","ｵｵｻｸﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1807.html","","139.687790499273","35.2175811263937","町内会・自治会マップ"
"東町内会","ﾋｶﾞｼﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1932.html","","139.611983938314","35.2064476293516","町内会・自治会マップ"
"松ヶ崎町内会","ﾏﾂｶﾞｻｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1931.html","","139.610481664682","35.2085463603609","町内会・自治会マップ"
"新宿町内会","ｼﾝｼﾞﾕｸﾁﾖｳﾅｲｶｲ","","","","","","139.606004034917","35.2031217517604","町内会・自治会マップ"
"番場町内会","ﾊﾞﾝﾊﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1934.html","","139.607377998971","35.2052308448247","町内会・自治会マップ"
"漆山町内会","ｳﾙｼﾔﾏﾁﾖｳﾅｲｶｲ","","","","","","139.608583719748","35.198493790688","町内会・自治会マップ"
"荒井町内会","ｱﾗｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1937.html","","139.604456385493","35.1963040029115","町内会・自治会マップ"
"長井市営アパート自治会","ﾅｶﾞｲｼｴｲｱﾊﾟ-ﾄｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1938.html","","139.614749520171","35.2066357420681","町内会・自治会マップ"
"富浦公園パークホームズ自治会","ﾄﾐｳﾗｺｳｴﾝﾊﾟ-ｸﾎ-ﾑｽﾞｼﾞﾁｶｲ","","","","","","139.617395210247","35.2052933337823","町内会・自治会マップ"
"大久保町内会","ｵｵｸﾎﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1926.html","","139.618631747144","35.1988972593691","町内会・自治会マップ"
"小根岸町内会","ｺﾈｷﾞｼﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1924.html","","139.627118929216","35.2025967146753","町内会・自治会マップ"
"大木根町内会","ｵｵｷﾈﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1925.html","","139.627041056295","35.2067453844637","町内会・自治会マップ"
"御幸浜町内会","ﾐﾕｷﾊﾏﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1915.html","","139.627280679087","35.2085178772597","町内会・自治会マップ"
"井尻町内会","ｲｼﾞﾘﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1928.html","","139.620020687954","35.2060770873895","町内会・自治会マップ"
"古屋敷町内会","ｺﾔｼｷﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1833.html","","139.664451764589","35.1974433918532","町内会・自治会マップ"
"高田町内会","ﾀｶﾀﾁﾖｳﾅｲｶｲ","","","","","","139.661324520852","35.2047714692458","町内会・自治会マップ"
"グリーンハイツ自治会","ｸﾞﾘ-ﾝﾊｲﾂｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1835.html","","139.671440027193","35.203353420008","町内会・自治会マップ"
"県営津久井浜団地自治会","ｹﾝｴｲﾂｸｲﾊﾏﾀﾞﾝﾁｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1834.html","","139.669703952166","35.1995192291403","町内会・自治会マップ"
"クリオ湘南長沢参番館自治会","ｸﾘｵｼﾖｳﾅﾝﾅｶﾞｻﾜｻﾝﾊﾞﾝｶﾝｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1844.html","","139.672462037723","35.201620225081","町内会・自治会マップ"
"大町谷町内会","ｵｵﾏﾁﾔﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1823.html","","139.66330123124","35.1952890215332","町内会・自治会マップ"
"仲町谷町内会","ﾅｶﾏﾁﾔﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1824.html","","139.665750361905","35.1963099993875","町内会・自治会マップ"
"谷戸町内会","ﾔﾄﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1831.html","","139.663965391735","35.2056438407681","町内会・自治会マップ"
"グリーンハイツ自治会","ｸﾞﾘ-ﾝﾊｲﾂｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1835.html","","139.667327593717","35.2081484345386","町内会・自治会マップ"
"境町内会","ｻｶｲﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1814.html","","139.672765449409","35.2009841588885","町内会・自治会マップ"
"グリーンハイツ自治会","ｸﾞﾘ-ﾝﾊｲﾂｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1835.html","","139.667768448114","35.2088071345218","町内会・自治会マップ"
"安戸町内会","ﾔｽﾄﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1827.html","","139.669129509684","35.2035720433444","町内会・自治会マップ"
"グリーンハイツ自治会","ｸﾞﾘ-ﾝﾊｲﾂｼﾞﾁｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1835.html","","139.676087395257","35.2052632941906","町内会・自治会マップ"
"下田町内会","ｼﾀﾀﾞﾁﾖｳﾅｲｶｲ","","","","http://www.city.yokosuka.kanagawa.jp/2720/tyounaikai/1828.html","","139.664209455991","35.2019373763586","町内会・自治会マップ"
